date_id,full_date,day_name,is_weekend,is_holiday,month_name,month_number,quarter,year,fiscal_year
1,2023-01-01,Sunday,True,True,January,1,Q1,2023,FY2023
2,2023-01-02,Monday,False,False,January,1,Q1,2023,FY2023
3,2023-01-03,Tuesday,False,False,January,1,Q1,2023,FY2023
4,2023-01-04,Wednesday,False,False,January,1,Q1,2023,FY2023
5,2023-01-05,Thursday,False,False,January,1,Q1,2023,FY2023
6,2023-01-06,Friday,False,False,January,1,Q1,2023,FY2023
7,2023-01-07,Saturday,True,False,January,1,Q1,2023,FY2023
8,2023-01-08,Sunday,True,False,January,1,Q1,2023,FY2023
9,2023-01-09,Monday,False,False,January,1,Q1,2023,FY2023
10,2023-01-10,Tuesday,False,False,January,1,Q1,2023,FY2023
11,2023-01-11,Wednesday,False,False,January,1,Q1,2023,FY2023
12,2023-01-12,Thursday,False,False,January,1,Q1,2023,FY2023
13,2023-01-13,Friday,False,False,January,1,Q1,2023,FY2023
14,2023-01-14,Saturday,True,False,January,1,Q1,2023,FY2023
15,2023-01-15,Sunday,True,False,January,1,Q1,2023,FY2023
16,2023-01-16,Monday,False,False,January,1,Q1,2023,FY2023
17,2023-01-17,Tuesday,False,False,January,1,Q1,2023,FY2023
18,2023-01-18,Wednesday,False,False,January,1,Q1,2023,FY2023
19,2023-01-19,Thursday,False,False,January,1,Q1,2023,FY2023
20,2023-01-20,Friday,False,False,January,1,Q1,2023,FY2023
21,2023-01-21,Saturday,True,False,January,1,Q1,2023,FY2023
22,2023-01-22,Sunday,True,False,January,1,Q1,2023,FY2023
23,2023-01-23,Monday,False,False,January,1,Q1,2023,FY2023
24,2023-01-24,Tuesday,False,False,January,1,Q1,2023,FY2023
25,2023-01-25,Wednesday,False,False,January,1,Q1,2023,FY2023
26,2023-01-26,Thursday,False,False,January,1,Q1,2023,FY2023
27,2023-01-27,Friday,False,False,January,1,Q1,2023,FY2023
28,2023-01-28,Saturday,True,False,January,1,Q1,2023,FY2023
29,2023-01-29,Sunday,True,False,January,1,Q1,2023,FY2023
30,2023-01-30,Monday,False,False,January,1,Q1,2023,FY2023
31,2023-01-31,Tuesday,False,False,January,1,Q1,2023,FY2023
32,2023-02-01,Wednesday,False,False,February,2,Q1,2023,FY2023
33,2023-02-02,Thursday,False,False,February,2,Q1,2023,FY2023
34,2023-02-03,Friday,False,False,February,2,Q1,2023,FY2023
35,2023-02-04,Saturday,True,False,February,2,Q1,2023,FY2023
36,2023-02-05,Sunday,True,False,February,2,Q1,2023,FY2023
37,2023-02-06,Monday,False,False,February,2,Q1,2023,FY2023
38,2023-02-07,Tuesday,False,False,February,2,Q1,2023,FY2023
39,2023-02-08,Wednesday,False,False,February,2,Q1,2023,FY2023
40,2023-02-09,Thursday,False,False,February,2,Q1,2023,FY2023
41,2023-02-10,Friday,False,False,February,2,Q1,2023,FY2023
42,2023-02-11,Saturday,True,False,February,2,Q1,2023,FY2023
43,2023-02-12,Sunday,True,False,February,2,Q1,2023,FY2023
44,2023-02-13,Monday,False,False,February,2,Q1,2023,FY2023
45,2023-02-14,Tuesday,False,False,February,2,Q1,2023,FY2023
46,2023-02-15,Wednesday,False,False,February,2,Q1,2023,FY2023
47,2023-02-16,Thursday,False,False,February,2,Q1,2023,FY2023
48,2023-02-17,Friday,False,False,February,2,Q1,2023,FY2023
49,2023-02-18,Saturday,True,False,February,2,Q1,2023,FY2023
50,2023-02-19,Sunday,True,False,February,2,Q1,2023,FY2023
51,2023-02-20,Monday,False,False,February,2,Q1,2023,FY2023
52,2023-02-21,Tuesday,False,False,February,2,Q1,2023,FY2023
