sale_line_id,sale_id,date_id,product_id,hospital_id,sales_rep_id,quantity,unit_price,unit_cost,discount
1,1,1,13,44,2,3,207.14,113.06,0.1
2,1,1,21,44,2,16,37.88,23.36,0.15
3,1,1,11,44,2,1,583.49,372.45,0
4,1,1,14,44,2,4,1191.81,616.93,0
5,2,1,7,21,9,3,120.11,77.26,0
6,2,1,13,21,9,11,232.76,113.06,0.15
7,2,1,15,21,9,6,1365.66,795.97,0
8,3,1,2,88,11,20,1859.48,869.25,0.15
9,3,1,6,88,11,13,441.8,202.95,0
10,3,1,12,88,11,14,650.29,395.69,0.15
11,4,3,16,27,3,24,532.11,350.66,0.05
12,4,3,3,27,3,17,827.18,428.42,0.1
13,5,3,17,65,2,1,674.73,373.03,0.05
14,6,3,9,86,11,19,603.18,339.37,0.1
15,6,3,17,86,11,4,655.9,373.03,0
16,7,3,2,26,12,24,1859.48,869.25,0.15
17,7,3,17,26,12,1,721.87,373.03,0
18,8,4,4,31,8,2,323.12,204.85,0.15
19,9,4,16,97,11,15,609.58,350.66,0
20,9,4,18,97,11,23,36.79,20.77,0
21,10,5,2,41,5,15,1859.48,869.25,0
22,10,5,20,41,5,20,67.45,34.35,0
23,11,10,10,81,12,21,525.69,303.54,0.1
24,11,10,2,81,12,9,1859.48,869.25,0
25,11,10,20,81,12,11,67.45,34.35,0
26,11,10,5,81,12,15,528.23,270.34,0.1
27,12,11,6,42,10,14,441.8,202.95,0.15
28,12,11,15,42,10,2,1365.66,795.97,0.1
29,13,12,15,26,1,11,1365.66,795.97,0.1
30,13,12,16,26,1,10,609.58,350.66,0
31,14,13,14,46,5,11,1191.81,616.93,0
32,14,13,8,46,5,11,188.77,93.64,0
33,14,13,21,46,5,6,43.25,23.36,0
34,15,13,6,53,10,25,429.97,202.95,0.1
35,15,13,11,53,10,23,583.49,372.45,0
36,15,13,9,53,10,14,603.18,339.37,0.1
37,15,13,8,53,10,9,188.77,93.64,0
38,16,14,19,18,11,18,819.01,488.55,0
39,16,14,10,18,11,23,579.74,303.54,0
40,16,14,18,18,11,24,33.65,20.77,0
41,16,14,3,18,11,8,827.18,428.42,0
42,17,14,3,99,5,21,805.94,428.42,0.05
43,17,14,8,99,5,9,188.77,93.64,0.1
44,17,14,16,99,5,14,609.58,350.66,0.15
45,17,14,15,99,5,23,1365.66,795.97,0.1
46,18,15,8,53,8,12,188.77,93.64,0.05
47,19,18,12,56,8,16,579.85,395.69,0.15
48,19,18,20,56,8,23,67.45,34.35,0.15
49,19,18,19,56,8,4,781.24,488.55,0
50,20,18,16,72,9,4,522.99,350.66,0.1
51,20,18,9,72,9,12,603.18,339.37,0
52,20,18,10,72,9,8,579.74,303.54,0.05
53,20,18,17,72,9,9,721.87,373.03,0
54,21,19,17,107,8,12,721.87,373.03,0.1
55,22,19,10,88,3,21,579.74,303.54,0.05
56,22,19,12,88,3,16,650.29,395.69,0.1
57,22,19,6,88,3,25,441.8,202.95,0.1
58,22,19,17,88,3,17,679.57,373.03,0.05
59,23,19,8,1,2,16,188.77,93.64,0
60,24,19,8,26,1,2,188.77,93.64,0
61,25,20,15,33,10,2,1365.66,795.97,0
62,25,20,3,33,10,25,827.18,428.42,0
63,25,20,12,33,10,21,650.29,395.69,0
64,26,20,20,62,7,2,67.45,34.35,0.15
65,26,20,17,62,7,20,628.51,373.03,0
66,27,20,10,40,9,21,523.72,303.54,0
67,27,20,14,40,9,20,1191.81,616.93,0.05
68,28,21,11,62,8,6,583.49,372.45,0.15
69,28,21,10,62,8,9,579.74,303.54,0
70,28,21,18,62,8,16,36.79,20.77,0.1
71,29,22,7,26,9,21,120.11,77.26,0
72,29,22,14,26,9,1,1191.81,616.93,0
73,29,22,2,26,9,25,1859.48,869.25,0.15
74,29,22,20,26,9,13,67.45,34.35,0
